Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
2450	-7546.686	-7452.176	-94.50973	2.216968	0.317868	0.676266	1.07458	1.93129	14.79153
2460	-7531.639	-7437.765	-93.87385	2.139674	0.309396	0.669089	1.07312	1.94839	14.73568
2470	-7528.624	-7425.43	-103.1934	2.088525	0.303618	0.664109	1.07205	1.96022	15.67275
2480	-7514.78	-7425.272	-89.50761	2.014113	0.294954	0.656506	1.07034	1.9782	14.31161
2490	-7521.209	-7433.909	-87.29976	1.914082	0.282798	0.645555	1.06768	2.00396	14.10083
2500	-7551.539	-7460.143	-91.39629	2.054136	0.299652	0.66065	1.07129	1.96841	14.49647
2510	-7533.492	-7435.02	-98.47114	2.345665	0.331318	0.687367	1.07664	1.90467	15.17481
2520	-7540.279	-7442.421	-97.85793	2.058028	0.300105	0.661046	1.07138	1.96747	15.14225
2530	-7535.176	-7441.846	-93.32991	2.263351	0.322807	0.680383	1.07537	1.92144	14.66891
2540	-7548.468	-7450.223	-98.24538	1.973952	0.290145	0.652215	1.06932	1.98832	15.1894
2550	-7535.368	-7440.329	-95.03907	1.659108	0.248888	0.613062	1.05854	2.07951	14.90025
2560	-7540.382	-7444.284	-96.09807	2.003383	0.293678	0.655373	1.07007	1.98087	14.97173
2570	-7541.186	-7451.126	-90.05991	1.918267	0.283319	0.646031	1.0678	2.00285	14.37642
2580	-7539.389	-7439.61	-99.77953	2.491955	0.345693	0.698854	1.07854	1.87692	15.29102
2590	-7544.525	-7441.864	-102.6618	1.891991	0.280032	0.643014	1.06704	2.00992	15.63924
2600	-7539.065	-7445.135	-93.92963	2.467483	0.343352	0.697009	1.07825	1.88139	14.70847
2610	-7543.768	-7436.369	-107.3985	2.077065	0.302304	0.662966	1.0718	1.96293	16.0944
2620	-7543.35	-7441.164	-102.1868	2.003201	0.293656	0.655354	1.07007	1.98092	15.58062
2630	-7555.002	-7460.208	-94.79348	2.206006	0.316685	0.675272	1.07438	1.93366	14.82101
2640	-7521.6	-7434.79	-86.80961	2.016366	0.295221	0.656743	1.07039	1.97764	14.04158
2650	-7539.39	-7442.309	-97.08051	2.291013	0.325703	0.682775	1.07582	1.9157	15.04121
2660	-7538.69	-7449.42	-89.26909	1.767801	0.263889	0.627809	1.06292	2.04538	14.31239
